StudentID,Age,Gender,Role,BenefitStatus,UsageFrequency,PerceivedImpact,DataProtectionConcerns,BiasConcerns,TrainingNeeds,AutomationEfficiency
1,17,Other,Student,Not Benefited,High,Moderate,Low,Low,Moderate,High
2,15,Other,Student,Not Benefited,Low,Low,Low,Low,Low,High
3,18,Male,Developer,Not Benefited,Low,High,High,Moderate,Low,High
4,19,Male,Developer,Benefited,High,Moderate,Low,Low,High,Low
5,13,Other,Student,Benefited,Low,Moderate,High,Moderate,Low,High
6,16,Female,Student,Not Benefited,High,Moderate,Moderate,Moderate,Moderate,High
7,17,Male,Researcher,Not Benefited,High,Low,High,Low,High,High
8,19,Other,Student,Benefited,Moderate,Moderate,High,Low,Low,High
9,14,Other,Researcher,Not Benefited,Low,High,Moderate,Low,High,Moderate
10,17,Other,Student,Not Benefited,Low,Moderate,High,High,Low,Low
11,19,Female,Researcher,Not Benefited,High,Moderate,Low,Low,Low,High
12,16,Other,Developer,Benefited,Moderate,High,Low,Moderate,Low,High
13,21,Other,Student,Benefited,High,Moderate,High,Low,Moderate,High
14,18,Other,Student,Benefited,Low,Low,Low,High,Moderate,Low
15,14,Other,Student,Not Benefited,Low,Low,High,Low,High,Moderate
16,13,Male,Student,Not Benefited,Low,Low,Low,High,Low,Low
17,15,Male,Researcher,Not Benefited,Low,High,Low,High,Low,Moderate
18,16,Other,Student,Benefited,Moderate,Moderate,High,Low,Moderate,High
19,17,Female,Developer,Not Benefited,High,Low,Low,Moderate,Low,High
20,19,Male,Developer,Not Benefited,High,High,High,High,Moderate,Low
21,14,Other,Student,Not Benefited,Low,Moderate,Low,Low,Low,Low
22,19,Male,Developer,Not Benefited,High,High,Low,Low,High,Moderate
23,19,Male,Student,Benefited,High,Low,Moderate,Moderate,Low,Moderate
24,16,Female,Student,Benefited,Moderate,Low,Moderate,High,Low,Low
25,16,Other,Developer,Not Benefited,High,Low,High,High,Moderate,Moderate
26,14,Other,Student,Benefited,Low,High,Moderate,Low,Low,Low
27,19,Female,Developer,Benefited,High,High,High,Low,Low,Moderate
28,19,Female,Researcher,Not Benefited,High,Low,Moderate,Moderate,Moderate,Low
29,16,Other,Student,Not Benefited,Low,High,Low,Moderate,High,Low
30,19,Other,Researcher,Benefited,Moderate,Low,High,High,High,Low
31,14,Female,Developer,Not Benefited,Low,Low,High,High,Moderate,Moderate
32,19,Male,Researcher,Benefited,High,Moderate,Low,Low,Moderate,Moderate
33,13,Male,Researcher,Not Benefited,Low,High,High,High,Moderate,Moderate
34,17,Female,Developer,Benefited,Moderate,Low,High,Moderate,Moderate,Low
35,17,Male,Researcher,Not Benefited,High,Low,Moderate,Moderate,Moderate,Moderate
36,14,Female,Researcher,Benefited,Low,High,High,Low,High,Moderate
37,17,Male,Developer,Benefited,Moderate,Moderate,Low,Moderate,High,Low
38,16,Male,Researcher,Benefited,High,Moderate,Moderate,Moderate,Moderate,High
39,13,Other,Developer,Not Benefited,Low,Low,Moderate,Moderate,Low,Low
40,19,Other,Researcher,Benefited,Moderate,High,Low,Moderate,Moderate,Moderate
